,index,word,sum_prob
497,4847,brigadière,2.9801188202152207
498,4864,gent,2.9315217260649797
499,4869,émissaire,2.9290795301219394
500,4878,platineux,2.830674557748672
501,4881,séminariste,2.9816206003779118
502,4882,cancérologue,2.928745493211797
503,4898,accadien,2.8822992248023116
504,4910,taurillon,2.8964480050086845
505,4948,phalangiste,2.8984900900619897
506,4970,cheftaine,2.9280074219885637
507,4972,inspectorat,2.8157431003806597
508,4977,toxicologiste,2.9625981907577574
509,4982,versaillais,2.966888741883944
510,5000,bassoniste,2.9859090055069233
511,5002,serre-frein,2.8533968395019156
512,5009,nominatif,2.8793244917311402
513,5018,authentique,2.8403119945805284
514,5019,rase-pet,2.8489457664962563
515,5020,subdivisionnaire,2.9478004596786955
516,5029,quakeriste,2.967755140105031
517,5055,apprêteur,2.956695032961213
518,5056,aristotélicien,2.9727640583632833
519,5068,mollassité,2.8149841840454033
520,5070,immoraliste,2.9888325208953828
521,5077,télémétreur,2.926499804478971
522,5083,ludion,2.815932235354012
523,5091,congrégationiste,2.8467324255884963
524,5105,perceptionniste,2.860522946099386
525,5106,finaliste,2.97329423453356
526,5107,assommant,2.871755970091491
527,5110,voyoucratie,2.8188011650305165
528,5114,survivancier,2.956066627190336
529,5135,constitutionaliste,2.9519902968842104
530,5141,martyrologiste,2.954353449146051
531,5145,argentiste,2.982458128369289
532,5149,alémanique,2.875950801037178
533,5156,dogre,2.8725431709726132
534,5157,succube,2.8717749027892148
535,5162,taurin,2.9459131311838807
536,5165,populo,2.908428228230976
537,5176,fresquiste,2.988824291251806
538,5177,mûrisseur,2.8900159546215067
539,5184,transcendantaliste,2.9558559114113407
540,5186,épouvanté,2.8612257323293933
541,5200,nourrain,2.881433601170227
542,5205,nomenclateur,2.939065657548895
543,5211,lupeux,2.846579505921906
544,5215,subrogateur,2.9088062093563316
545,5225,caméraman,2.9758017384125437
546,5227,soutier,2.8916903814600006
547,5248,replanisseur,2.837230659228283
548,5253,sabreuse,2.9649396672545776
549,5262,néo-calédonien,2.8687286843540916
550,5281,renforçateur,2.9369978257083424
551,5288,sexeur,2.9776008097417446
552,5300,unitarien,2.9473273596627636
553,5303,psychométricien,2.9509656271313065
554,5308,affaneur,2.933901681652968
555,5321,japonisant,2.839355452698335
556,5326,cordelier,2.968089771356186
557,5348,mestre,2.9487392074157177
558,5366,décentralisateur,2.9125115997895796
559,5388,thermicien,2.9889518945280344
560,5390,mobilisé,2.932847097078785
561,5399,burlingue,2.8667994380170336
562,5400,félibréen,2.963324547314997
563,5407,scatologue,2.9838437774578805
564,5409,municipaliste,2.979655835515473
565,5414,surineur,2.9798190267416453
566,5438,lamarckien,2.930479046949651
